"","logFC","logCPM","LR","PValue","FDR","tag"
"hsa-miR-574-3p",-0.272549844405365,6.47750175033025,22.8734660074118,1.73023955600531e-06,5.59000471940176e-06,"Stable"
"hsa-miR-500a-5p",0.385736365890915,2.10936943303293,22.8587035877019,1.74357985495947e-06,5.6043638195126e-06,"Stable"
"hsa-miR-1468-5p",0.388093525848586,3.99000455601796,22.3773195283815,2.2400376525993e-06,7.16357218851554e-06,"Stable"
"hsa-miR-132-5p",-0.521319505572834,1.90427129690449,22.3630752928436,2.25671352879171e-06,7.18045213706452e-06,"Stable"
"hsa-miR-3913-5p",-0.302353681750702,2.70176563970073,22.3290053575623,2.29710650327606e-06,7.2530875384315e-06,"Stable"
"hsa-miR-17-3p",-0.267582554889406,8.30156335375931,22.3244454200154,2.30256747251794e-06,7.2530875384315e-06,"Stable"
"hsa-miR-421",0.404740660975569,1.39079710627056,22.2428493242622,2.40251838550127e-06,7.53028150679501e-06,"Stable"
"hsa-miR-935",0.622481991521557,1.10163828401163,22.0726334704447,2.62525859000172e-06,8.18768768168852e-06,"Stable"
"hsa-miR-128-1-5p",0.282328824605341,2.56500506837395,21.6302957361048,3.30588663995373e-06,1.02596481929598e-05,"Stable"
"hsa-miR-3912-3p",0.456175553831847,1.42810976792086,21.3444733758053,3.83725356927677e-06,1.18503419051195e-05,"Stable"
"hsa-miR-7706",0.420468486622168,0.823713767268517,20.8702884392151,4.91458913118695e-06,1.51033714763306e-05,"Stable"
"hsa-miR-200c-5p",0.340331551197053,4.89503392632631,20.7182221549792,5.32072518191035e-06,1.62721207019588e-05,"Stable"
"hsa-miR-412-5p",-1.14872968237462,0.813262396164765,20.5839056144487,5.70739198978818e-06,1.73703234471814e-05,"Down"
"hsa-miR-132-3p",-0.403643482790216,6.93949298762222,20.4412838361358,6.1488952430157e-06,1.8624057707211e-05,"Stable"
"hsa-miR-6761-5p",0.568499100340963,-0.205813563161434,20.2712410159749,6.72031824517103e-06,2.02574186337691e-05,"Stable"
"hsa-miR-454-3p",0.285129919554393,2.94309589754611,20.1075415919119,7.32074371843671e-06,2.19622311553101e-05,"Stable"
"hsa-miR-660-5p",0.373961883605441,5.88648103505971,20.0152983464446,7.68250695167753e-06,2.29382908983737e-05,"Stable"
