"","logFC","AveExpr","t","P.Value","adj.P.Val","B","tag"
"hsa-miR-296-5p",0.0156096140163364,3.15760972293662,0.174550374114949,0.861494304283917,0.888384993723609,-7.38234799546842,"Stable"
"hsa-miR-32-5p",-0.0402013029303596,6.03432295716555,-0.429312371909921,0.667856512491095,0.72543034977481,-7.40727335044227,"Stable"
"hsa-miR-15b-5p",-0.0430880191653227,7.65750479539086,-0.502174102955503,0.615737047432392,0.679359614505091,-7.40799708979004,"Stable"
"hsa-miR-200b-3p",0.138037949232775,9.32182227141778,0.538533319512238,0.590417043124599,0.65601893680511,-7.41476520080729,"Stable"
"hsa-miR-378a-5p",-0.0304929148780353,4.87618426432907,-0.314564995458081,0.753205915489324,0.80020190009827,-7.42009720627453,"Stable"
"hsa-miR-24-2-5p",-0.0157431413232212,4.21523009613214,-0.203843408620447,0.838547896121137,0.874644328735623,-7.42528680516461,"Stable"
"hsa-miR-217-5p",0.0428676295147383,4.53327041354947,0.174425447264266,0.861592430420833,0.888384993723609,-7.44116492228031,"Stable"
"hsa-miR-135a-5p",-0.0662760977647867,9.11017122128875,-0.470575331683201,0.638122238866226,0.698061031357011,-7.44825422029807,"Stable"
"hsa-miR-205-5p",-0.068672121143571,4.84269096450404,-0.194535047063416,0.845825576011329,0.878145403396457,-7.45081285771006,"Stable"
"hsa-miR-505-3p",0.00581723873135687,4.75505656260581,0.0979349450696976,0.922018034325002,0.938402845920438,-7.4597045754298,"Stable"
"hsa-miR-378a-3p",0.0374139108497857,7.60112262202202,0.362090922291647,0.717416943057431,0.769970484030973,-7.46606421748598,"Stable"
"hsa-miR-143-5p",0.0249849515949494,5.6994669426094,0.194202112823594,0.846086126764523,0.878145403396457,-7.47192170099539,"Stable"
"hsa-miR-500a-3p",-0.0260078975885323,7.40331659490615,-0.275661446463007,0.782907014619772,0.826183281759559,-7.49045381954761,"Stable"
"hsa-miR-20a-5p",-0.0307482526616454,7.76865990285783,-0.299300057370639,0.76481911652723,0.809808476322949,-7.49123878215432,"Stable"
"hsa-miR-200a-3p",0.0672463566889361,7.95761068820062,0.263487541478466,0.79226909399,0.834664764571405,-7.50356886773664,"Stable"
"hsa-let-7i-5p",-0.0287127454378897,10.8860704482574,-0.336703677397402,0.73646297831751,0.78772780363333,-7.52117802479764,"Stable"
"hsa-miR-128-3p",-0.00118686751844788,7.15601923293793,-0.0157582690682384,0.987432699617438,0.989002544926846,-7.52270884480422,"Stable"
"hsa-let-7f-5p",-0.0509597305964231,14.212531208276,-0.41079555303607,0.681375291646828,0.736471374944881,-7.52840173793645,"Stable"
"hsa-miR-22-3p",-0.0196171677418384,16.570897218665,-0.230462673886364,0.817814125968304,0.855851992292411,-7.60597869773556,"Stable"
